"Booking_ID","no_of_adults","no_of_children","no_of_weekend_nights","no_of_week_nights","type_of_meal_plan","required_car_parking_space","room_type_reserved","lead_time","arrival_year","arrival_month","arrival_date","market_segment_type","repeated_guest","no_of_previous_cancellations","no_of_previous_bookings_not_canceled","avg_price_per_room","no_of_special_requests","booking_status"
"INN00001",2,0,1,2,"Meal Plan 1",FALSE,"Room_Type 1",224,"2017",10,2,"Offline",FALSE,0,0,65,0,TRUE
"INN00002",2,0,2,3,"Not Selected",FALSE,"Room_Type 1",5,"2018",11,6,"Online",FALSE,0,0,106.68,1,TRUE
"INN00003",1,0,2,1,"Meal Plan 1",FALSE,"Room_Type 1",1,"2018",2,28,"Online",FALSE,0,0,60,0,FALSE
"INN00004",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",211,"2018",5,20,"Online",FALSE,0,0,100,0,FALSE
"INN00005",2,0,1,1,"Not Selected",FALSE,"Room_Type 1",48,"2018",4,11,"Online",FALSE,0,0,94.5,0,FALSE
"INN00006",2,0,0,2,"Meal Plan 2",FALSE,"Room_Type 1",346,"2018",9,13,"Online",FALSE,0,0,115,1,FALSE
"INN00007",2,0,1,3,"Meal Plan 1",FALSE,"Room_Type 1",34,"2017",10,15,"Online",FALSE,0,0,107.55,1,TRUE
"INN00008",2,0,1,3,"Meal Plan 1",FALSE,"Room_Type 4",83,"2018",12,26,"Online",FALSE,0,0,105.61,1,TRUE
"INN00009",3,0,0,4,"Meal Plan 1",FALSE,"Room_Type 1",121,"2018",7,6,"Offline",FALSE,0,0,96.9,1,TRUE
"INN00010",2,0,0,5,"Meal Plan 1",FALSE,"Room_Type 4",44,"2018",10,18,"Online",FALSE,0,0,133.44,3,TRUE
"INN00011",1,0,1,0,"Not Selected",FALSE,"Room_Type 1",0,"2018",9,11,"Online",FALSE,0,0,85.03,0,TRUE
"INN00012",1,0,2,1,"Meal Plan 1",FALSE,"Room_Type 4",35,"2018",4,30,"Online",FALSE,0,0,140.4,1,TRUE
"INN00013",2,0,2,1,"Not Selected",FALSE,"Room_Type 1",30,"2018",11,26,"Online",FALSE,0,0,88,0,FALSE
"INN00014",1,0,2,0,"Meal Plan 1",FALSE,"Room_Type 1",95,"2018",11,20,"Online",FALSE,0,0,90,2,FALSE
"INN00015",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",47,"2017",10,20,"Online",FALSE,0,0,94.5,2,TRUE
"INN00016",2,0,0,2,"Meal Plan 2",FALSE,"Room_Type 1",256,"2018",6,15,"Online",FALSE,0,0,115,1,FALSE
"INN00017",1,0,1,0,"Meal Plan 1",FALSE,"Room_Type 1",0,"2017",10,5,"Offline",FALSE,0,0,96,0,TRUE
"INN00018",2,0,1,3,"Not Selected",FALSE,"Room_Type 1",1,"2017",8,10,"Online",FALSE,0,0,96,1,TRUE
"INN00019",2,0,2,2,"Meal Plan 1",FALSE,"Room_Type 1",99,"2017",10,30,"Online",FALSE,0,0,65,0,FALSE
"INN00020",2,0,1,0,"Meal Plan 1",FALSE,"Room_Type 1",12,"2017",10,4,"Offline",FALSE,0,0,72,0,TRUE
"INN00021",2,0,2,2,"Meal Plan 1",FALSE,"Room_Type 1",99,"2017",10,30,"Online",FALSE,0,0,65,0,FALSE
"INN00022",1,0,0,1,"Meal Plan 1",FALSE,"Room_Type 1",122,"2018",11,25,"Corporate",FALSE,0,0,67,0,TRUE
"INN00023",2,0,2,4,"Meal Plan 1",FALSE,"Room_Type 1",2,"2018",3,20,"Offline",FALSE,0,0,85,0,TRUE
"INN00024",2,0,0,3,"Meal Plan 1",FALSE,"Room_Type 1",37,"2018",10,13,"Offline",FALSE,0,0,105,0,TRUE
"INN00025",2,0,2,1,"Not Selected",FALSE,"Room_Type 1",130,"2018",5,22,"Online",FALSE,0,0,94.5,1,TRUE
"INN00026",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",99,"2018",4,28,"Online",FALSE,0,0,114.3,1,TRUE
"INN00027",2,0,1,1,"Meal Plan 1",FALSE,"Room_Type 1",60,"2017",9,21,"Offline",FALSE,0,0,65,0,TRUE
"INN00028",1,0,0,2,"Meal Plan 1",FALSE,"Room_Type 4",2,"2018",5,19,"Aviation",FALSE,0,0,110,0,FALSE
"INN00029",1,0,1,2,"Meal Plan 1",FALSE,"Room_Type 1",37,"2017",11,6,"Online",FALSE,0,0,37.33,0,FALSE
"INN00030",2,0,0,2,"Meal Plan 2",FALSE,"Room_Type 1",56,"2017",9,17,"Offline",FALSE,0,0,82,0,TRUE
"INN00031",2,0,1,1,"Meal Plan 1",FALSE,"Room_Type 4",3,"2017",9,19,"Online",FALSE,0,0,177.5,1,TRUE
"INN00032",2,0,2,2,"Meal Plan 1",FALSE,"Room_Type 1",107,"2018",11,13,"Online",FALSE,0,0,87.5,1,TRUE
"INN00033",0,2,0,3,"Meal Plan 1",FALSE,"Room_Type 2",56,"2018",12,7,"Online",FALSE,0,0,82.44,1,TRUE
"INN00034",2,0,0,1,"Not Selected",FALSE,"Room_Type 1",2,"2018",1,9,"Online",FALSE,0,0,69.5,1,TRUE
"INN00035",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",72,"2018",10,7,"Offline",FALSE,0,0,85.5,0,TRUE
"INN00036",2,0,0,1,"Not Selected",TRUE,"Room_Type 1",23,"2018",4,27,"Online",FALSE,0,0,115,1,TRUE
"INN00037",1,0,2,1,"Meal Plan 1",FALSE,"Room_Type 1",34,"2018",6,19,"Online",FALSE,0,0,81,0,FALSE
"INN00038",2,0,0,1,"Meal Plan 1",FALSE,"Room_Type 1",289,"2017",10,17,"Offline",FALSE,0,0,67,0,TRUE
"INN00039",2,0,2,3,"Not Selected",FALSE,"Room_Type 1",247,"2018",11,19,"Online",FALSE,0,0,63.75,0,FALSE
"INN00040",2,0,2,1,"Meal Plan 1",FALSE,"Room_Type 4",186,"2018",7,30,"Online",FALSE,0,0,121.8,1,FALSE
"INN00041",2,0,0,4,"Meal Plan 1",FALSE,"Room_Type 1",64,"2018",11,1,"Online",FALSE,0,0,93.6,2,TRUE
"INN00042",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",35,"2018",6,21,"Online",FALSE,0,0,102,1,TRUE
"INN00043",3,0,2,1,"Meal Plan 1",FALSE,"Room_Type 1",96,"2018",4,10,"Online",FALSE,0,0,121.8,1,TRUE
"INN00044",2,0,1,1,"Not Selected",FALSE,"Room_Type 1",41,"2018",6,27,"Online",FALSE,0,0,98.1,1,FALSE
"INN00045",2,0,0,4,"Meal Plan 1",FALSE,"Room_Type 4",55,"2017",11,18,"Offline",FALSE,0,0,60,1,TRUE
"INN00046",2,0,0,3,"Meal Plan 1",FALSE,"Room_Type 1",146,"2017",12,29,"Offline",FALSE,0,0,75,0,TRUE
"INN00047",1,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",32,"2017",11,20,"Offline",FALSE,0,0,73,0,TRUE
"INN00048",2,0,0,1,"Meal Plan 2",FALSE,"Room_Type 1",55,"2018",4,6,"Offline",FALSE,0,0,104,0,TRUE
"INN00049",2,0,0,4,"Not Selected",FALSE,"Room_Type 1",57,"2018",11,1,"Online",FALSE,0,0,79.2,1,TRUE
"INN00050",1,0,1,3,"Meal Plan 1",FALSE,"Room_Type 4",7,"2018",12,29,"Online",FALSE,0,0,125.8,2,TRUE
"INN00051",1,0,2,5,"Not Selected",FALSE,"Room_Type 1",124,"2018",5,30,"Online",FALSE,0,0,87.95,0,TRUE
"INN00052",2,0,2,2,"Meal Plan 2",FALSE,"Room_Type 1",169,"2018",4,22,"Online",FALSE,0,0,106,0,FALSE
"INN00053",1,0,1,2,"Meal Plan 1",FALSE,"Room_Type 1",6,"2018",5,16,"Online",FALSE,0,0,136.67,1,TRUE
"INN00054",2,0,0,4,"Meal Plan 1",FALSE,"Room_Type 4",51,"2017",11,11,"Offline",FALSE,0,0,60,1,TRUE
"INN00055",2,0,1,0,"Not Selected",FALSE,"Room_Type 1",13,"2018",6,13,"Online",FALSE,0,0,89,2,TRUE
"INN00056",2,0,1,3,"Meal Plan 1",FALSE,"Room_Type 1",100,"2018",5,19,"Online",FALSE,0,0,136,1,TRUE
"INN00057",2,0,0,1,"Not Selected",FALSE,"Room_Type 1",139,"2018",7,28,"Online",FALSE,0,0,94.5,1,TRUE
"INN00058",2,0,1,2,"Meal Plan 1",FALSE,"Room_Type 1",117,"2018",12,26,"Online",FALSE,0,0,93.6,2,TRUE
"INN00059",2,0,1,4,"Meal Plan 1",FALSE,"Room_Type 4",39,"2018",4,20,"Online",FALSE,0,0,120.6,0,FALSE
"INN00060",2,0,0,3,"Meal Plan 1",FALSE,"Room_Type 4",86,"2018",4,6,"Online",FALSE,0,0,99.3,1,TRUE
"INN00061",2,2,0,1,"Meal Plan 1",TRUE,"Room_Type 6",2,"2018",9,2,"Online",FALSE,0,0,258,1,TRUE
"INN00062",1,0,0,3,"Meal Plan 1",FALSE,"Room_Type 4",19,"2018",5,3,"Online",FALSE,0,0,120.12,2,TRUE
"INN00063",1,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",192,"2018",6,24,"Offline",FALSE,0,0,95,0,TRUE
"INN00064",1,0,0,1,"Meal Plan 1",FALSE,"Room_Type 1",2,"2017",9,10,"Complementary",FALSE,0,0,0,1,TRUE
